No.,Title,Price,Year
0,АвтомобільНива ВАЗ 2121,125922,2002
1,Машина  в хорошем состоянии,79151,1999
2,Продам Seat Cordoba,50000,1994
3,Ваз 2101 газ бензин,35978,1980
4,Продам Мерседес Мль 350,323800,2007
5,Продаю Opel Vektra C,161900,2008
6,Daewoo sens (Део сенс),53967,2007
7,Продам е46 touring 320d,147509,2001
8,Продам авто Golf 3,120526,1994
9,Продам Chery amulet,82749,2007
10,Mitsubishi L 200. 2015 рік,136716,2015
11,Продам volkswagen sharan,68358,2008
12,Skoda oktavia tur 1.9 tdi 2004,84548,2004
13,Kia Sportage 2021,798707,2021
14,Продам BMW 318 seria,165498,2002
15,SEAT Toledo 1.6 бензин 2005 р.,194280,2005
16,"Хюндай і30 , 2012 р",219465,2012
17,Продам Infinity G35X,307610,2008
18,Продам Ауді 80 бочка,63000,1990
19,Toyota aygo 2007р. Ручна к/п,151107,2007
20,Продам Ауді А6 С5,151107,2001
21,"Авто Kia Sportage 2013р. 1.7 дизель, обмін (Перший внесок від 20%)",478505,2013
22,Mercedes Sprinter 2.9,140313,1999
23,"Chevrolet captiva 2.0cdti 4х4, 7 місць",289621,2007
24,"Honda CRV 2,4 2016р.",683578,2016
25,Skoda Octavia Tour 2000р 1.9TDI 66kw,138515,2000
26,"SKODA SUPER B, шкода супер б, в Хорошем состоянии",212269,2006
27,Продам волинянку луаз,25000,1989
28,Свіжопригнана Renault Grand Scenic 2013 1.5d 7місць,348985,2013
29,Продам опель вектра б 2.0 дізелю або обмін з доплатою,19788,2001
30,Ланос 1.4 сенс малий пробіг газ вписаний,89945,2009
31,Nissan Rogue 2016 SLawd,557656,2016
32,"Срочно! Правый руль!BMW X5 3.0d 2005 рестайлинг, в пленке",151107,2005
33,Продам авто в хорошем состоянии,241051,2009
34,Opel Frontera B 1999,259040,1999
35,Обмен Продам ваз 2115 Самара гбо,77352,2007
36,Opel Combo 1.7 дизель 2006 року,160101,2006
37,"Продам ssang yong rexton, дизель только из ЕС",203982,2008
38,Kia Optima 2.0 turbo,377767,2011
39,Тойота Rav4 2.2 автомат,924629,2017
40,Ваз 2112. Хозяин газ 4,93000,2006
41,Ваз 2105 продам торг,46771,2000
42,продам тесла модел 3,1036161,2018
43,Продам ваз 2106,32380,1975
44,"Daewoo Sens, Сенс, возможен обмен",86347,2005
45,"Продам , можливий обмін",269834,2007
46,Audi Q5 2011 Premium Plus 2.0tfsi Quattro,521678,2011
47,Mercedes-Benz S400d,3054515,2017
48,ВАЗ 2102 1975 рік,17000,1975
49,Продам Reno Megan 3.,269834,2010
50,До вашої уваги хороше авто з малим пробігом,129484,2003
51,продам ваз 2101,15000,1987
52,АвтомобільНива ВАЗ 2121,125922,2002
53,Машина  в хорошем состоянии,79151,1999
54,Продам Seat Cordoba,50000,1994
55,Ваз 2101 газ бензин,35978,1980
56,Продам Мерседес Мль 350,323800,2007
57,Продаю Opel Vektra C,161900,2008
58,Daewoo sens (Део сенс),53967,2007
59,Продам е46 touring 320d,147509,2001
60,Продам авто Golf 3,120526,1994
61,Продам Chery amulet,82749,2007
62,Mitsubishi L 200. 2015 рік,136716,2015
